epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,15089.4,0.18753,0.97525,0.99974,0.06073,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15328.5,0.18627,0.9757,0.9997,0.06046,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15569.9,0.18466,0.97586,0.99976,0.06012,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15813.5,0.18289,0.97612,0.99976,0.05996,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16057.6,0.18097,0.97606,0.99972,0.05977,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16298.4,0.17791,0.97628,0.99978,0.05936,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16540.1,0.1799,0.97659,0.99976,0.05865,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16784.4,0.17439,0.97673,0.99972,0.05805,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17026.3,0.17259,0.97693,0.99974,0.05762,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17267.2,0.17488,0.97699,0.99976,0.05711,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17510.9,0.16935,0.97679,0.99972,0.05701,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,17754.1,0.16648,0.97711,0.99976,0.05621,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,17994.4,0.16733,0.97737,0.99976,0.05569,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18233.1,0.164,0.97727,0.99976,0.05567,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18473,0.16289,0.97749,0.99976,0.05549,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,18714.4,0.1588,0.97778,0.99974,0.05489,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,18955.8,0.1592,0.97798,0.99974,0.05482,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19195.4,0.15647,0.978,0.99974,0.0549,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
