epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1154.52,0.46425,0.24882,1.02377,0.99622,0.99938,0.99499,0.93316,0.34668,0.17241,0.95712,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1206.5,0.45662,0.24118,1.01981,0.99938,0.99897,0.995,0.93162,0.35172,0.17107,0.9582,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1260.06,0.45601,0.24291,1.01928,0.99814,0.99895,0.995,0.93702,0.35385,0.19277,0.96073,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1314.75,0.45567,0.2402,1.01778,0.99753,0.99997,0.995,0.93556,0.34907,0.17144,0.95821,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1369.95,0.45357,0.24102,1.0174,0.99805,1,0.995,0.93985,0.33673,0.16719,0.9406,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1424.54,0.44954,0.23841,1.01429,0.99865,1,0.995,0.93687,0.34182,0.16362,0.948,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1480.28,0.44518,0.23539,1.01093,0.99876,0.99988,0.995,0.93662,0.33898,0.1627,0.94777,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1535.73,0.44695,0.23658,1.0116,0.99926,1,0.995,0.93841,0.33872,0.16106,0.94582,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1589.03,0.44427,0.23189,1.01049,0.99753,0.9991,0.99494,0.93873,0.33601,0.1591,0.94315,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1642.74,0.44421,0.23362,1.01081,0.99877,0.99752,0.995,0.93656,0.3411,0.17471,0.94712,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1696.73,0.44206,0.23428,1.01004,0.99746,0.99938,0.995,0.93916,0.36416,0.19883,0.97414,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1751.51,0.4423,0.23057,1.01042,0.99813,0.99938,0.99492,0.93972,0.33018,0.15349,0.93854,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1805.23,0.44103,0.23036,1.01041,0.99809,1,0.995,0.94093,0.3327,0.16413,0.9445,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1859.82,0.43512,0.22732,1.00728,0.99931,1,0.995,0.93795,0.32658,0.15496,0.93689,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1913.12,0.43875,0.22709,1.009,0.99912,1,0.995,0.93851,0.33014,0.15218,0.93971,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1967.09,0.43488,0.22529,1.00581,0.99876,0.99967,0.995,0.94221,0.32725,0.15412,0.93763,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2020.53,0.43075,0.22426,1.00163,0.99932,0.99938,0.995,0.94149,0.32924,0.15466,0.9374,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2074.27,0.43103,0.22235,1.00223,0.99992,0.99938,0.995,0.94198,0.32735,0.14911,0.93821,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2128.17,0.43259,0.2213,1.00782,0.99918,1,0.99497,0.94183,0.32579,0.14836,0.93601,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2181.11,0.42939,0.2212,1.00394,0.99929,1,0.995,0.94159,0.32724,0.15212,0.93907,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2234.1,0.42965,0.21963,1.00509,0.99922,0.99938,0.995,0.9403,0.32414,0.14934,0.9357,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2287.36,0.42686,0.22072,1.00248,0.99864,1,0.99499,0.9422,0.31986,0.14488,0.93145,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2340.55,0.42422,0.21824,0.99996,0.99982,0.99938,0.995,0.94434,0.32051,0.14624,0.93308,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2393.47,0.42385,0.21574,1.00026,0.99863,1,0.99498,0.944,0.31875,0.14225,0.92926,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2446.38,0.4222,0.21403,1.00062,0.99748,1,0.99495,0.94276,0.32164,0.14384,0.93203,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2499.31,0.42096,0.21492,0.99993,0.99926,1,0.99488,0.94287,0.3187,0.1419,0.93094,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2552.4,0.42325,0.21645,1.0005,0.99976,1,0.995,0.9415,0.31787,0.14279,0.93084,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2606.26,0.41808,0.2141,0.99696,0.99876,0.99959,0.99493,0.94178,0.31806,0.14236,0.93156,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2660.6,0.41585,0.21283,0.99417,0.99909,0.99938,0.99489,0.94402,0.31776,0.14052,0.9311,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2714.11,0.41822,0.21387,0.99726,0.99932,1,0.99492,0.94328,0.31526,0.13885,0.92842,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2767.96,0.41226,0.20945,0.99642,0.99931,1,0.99496,0.94288,0.31484,0.13778,0.92884,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2821.54,0.41025,0.20936,0.99115,0.99929,1,0.99496,0.94547,0.31466,0.13831,0.92789,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2875.35,0.40857,0.20683,0.99336,1,0.99999,0.995,0.94542,0.31194,0.13749,0.92653,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2929.68,0.41051,0.20643,0.99319,0.99938,0.99933,0.995,0.94552,0.31077,0.13613,0.92625,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2982.91,0.41102,0.20558,0.99355,0.99992,0.99938,0.995,0.94451,0.30905,0.13499,0.92434,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3035.91,0.41099,0.20693,0.99411,0.99935,1,0.99498,0.94664,0.30881,0.13457,0.92294,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3089.09,0.40962,0.20533,0.99276,0.99934,1,0.99499,0.94641,0.30916,0.13438,0.92177,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3142.04,0.40647,0.20337,0.99048,0.99932,1,0.99498,0.94627,0.31106,0.1344,0.92205,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3195.07,0.40526,0.20272,0.99,0.99938,0.99995,0.99497,0.94659,0.31022,0.13377,0.9218,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3248.53,0.40135,0.20294,0.9879,0.99938,0.99997,0.99496,0.94757,0.30927,0.13289,0.92139,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3301.93,0.40102,0.19975,0.98837,0.99938,0.99997,0.99497,0.94662,0.30908,0.13247,0.92129,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3355.85,0.40239,0.20048,0.9894,0.99938,0.99999,0.99498,0.94626,0.30902,0.13195,0.92196,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3409.97,0.40195,0.20014,0.98998,0.99935,1,0.99498,0.94592,0.30932,0.13126,0.92306,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3463.96,0.39856,0.19764,0.98696,0.99873,1,0.99498,0.94591,0.30847,0.13081,0.92308,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3517.9,0.39862,0.19838,0.98829,0.99872,1,0.99498,0.94579,0.30866,0.13073,0.92301,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3571.81,0.39984,0.19963,0.98801,0.9987,1,0.99498,0.94597,0.30851,0.13144,0.92304,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3625.63,0.39639,0.19814,0.98767,0.99861,1,0.99496,0.94574,0.30809,0.13073,0.92296,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3679.63,0.39502,0.1966,0.98681,0.99876,0.99959,0.99494,0.94615,0.30777,0.13053,0.92262,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3732.64,0.39668,0.19647,0.98687,0.99876,0.99948,0.99494,0.94572,0.30765,0.13084,0.92241,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3785.76,0.39451,0.19505,0.98594,0.99876,0.99945,0.99496,0.94605,0.30712,0.13083,0.92215,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3839.91,0.39495,0.19348,0.98716,0.99883,0.99938,0.99499,0.94635,0.30691,0.13029,0.92203,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3893.67,0.39211,0.19201,0.98523,0.9987,1,0.99499,0.9462,0.30711,0.13005,0.92226,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3946.83,0.39043,0.19436,0.9829,0.99883,0.99938,0.995,0.94693,0.30688,0.12935,0.92195,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3999.9,0.39022,0.18953,0.98281,0.99881,0.99938,0.995,0.94734,0.30683,0.12918,0.9219,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4052.91,0.38571,0.18879,0.97997,0.99938,0.9998,0.99498,0.94697,0.30645,0.1288,0.92188,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4106.48,0.38909,0.18975,0.98257,0.99876,0.99943,0.99498,0.9474,0.30647,0.12839,0.92182,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4159.52,0.38468,0.18629,0.98109,0.99938,0.99987,0.99499,0.9467,0.30621,0.12826,0.92138,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4212.28,0.38099,0.18606,0.97753,0.99938,0.99988,0.99499,0.94701,0.30619,0.1288,0.92144,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4264.81,0.38414,0.18652,0.97892,0.99876,0.99999,0.99499,0.94705,0.30612,0.129,0.92161,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4317.88,0.38119,0.18295,0.97923,0.99938,0.99994,0.99499,0.94715,0.30621,0.12917,0.92159,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
