epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,3185.05,0.40431,0.20296,0.98958,0.99938,0.99996,0.995,0.94651,0.31232,0.13189,0.92849,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3237.22,0.40578,0.20547,0.99099,0.9992,1,0.995,0.94688,0.31182,0.13169,0.92813,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3289.46,0.40409,0.2045,0.98827,0.99938,0.99967,0.995,0.94584,0.31228,0.13282,0.92852,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3341.7,0.40731,0.20536,0.99311,0.99906,1,0.995,0.94604,0.31252,0.13332,0.92878,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3393.9,0.40382,0.20398,0.98763,0.99861,1,0.995,0.94597,0.31207,0.13356,0.92813,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3446.73,0.40002,0.20452,0.98877,0.99935,0.99938,0.995,0.94634,0.3109,0.13213,0.92712,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3499.59,0.40376,0.19831,0.99128,0.99938,0.99929,0.995,0.9473,0.30999,0.13126,0.92601,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3552.26,0.40191,0.19795,0.99053,0.99938,0.99922,0.995,0.94659,0.30951,0.13071,0.92524,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3604.69,0.39857,0.19723,0.98984,0.99876,0.99995,0.995,0.94765,0.30868,0.13019,0.92423,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3657.17,0.39895,0.19727,0.98898,0.99876,1,0.995,0.9477,0.30841,0.1296,0.92393,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3709.35,0.39553,0.19395,0.98528,0.99871,1,0.995,0.94781,0.3084,0.12939,0.92384,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3761.51,0.39762,0.19545,0.98846,0.99864,1,0.995,0.94788,0.30801,0.12936,0.92354,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3813.77,0.39632,0.19484,0.98741,0.99863,1,0.995,0.94803,0.30798,0.12892,0.92333,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3865.94,0.39353,0.19269,0.98443,1,0.9991,0.995,0.94812,0.30796,0.12893,0.92345,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3918.26,0.3924,0.19188,0.98244,1,0.99935,0.995,0.94901,0.30782,0.12885,0.92338,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3970.47,0.38932,0.1921,0.98262,0.9997,0.99938,0.995,0.94911,0.30726,0.12782,0.9231,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4022.61,0.38934,0.19148,0.98354,1,0.99971,0.995,0.94824,0.30708,0.12776,0.92288,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4076,0.38893,0.19056,0.98277,1,0.99968,0.995,0.94787,0.30716,0.12858,0.92293,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4128.27,0.38779,0.18764,0.98201,1,0.99971,0.995,0.9479,0.30697,0.1285,0.92269,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4180.43,0.38629,0.18875,0.98133,0.99992,1,0.995,0.94815,0.30655,0.1276,0.92241,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4232.5,0.38708,0.18706,0.98082,0.99976,1,0.995,0.94787,0.30626,0.12747,0.92222,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4284.73,0.38294,0.18617,0.9787,0.99974,1,0.995,0.94819,0.30634,0.12695,0.92235,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4336.84,0.38356,0.18389,0.9802,0.99974,1,0.995,0.94806,0.30642,0.12739,0.92241,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4389.19,0.38174,0.18308,0.98016,0.99924,1,0.995,0.94821,0.30631,0.12716,0.92239,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4441.3,0.37957,0.18195,0.97858,0.99925,1,0.995,0.94782,0.30625,0.12722,0.92247,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4493.44,0.37921,0.18394,0.9777,0.99921,1,0.995,0.94792,0.3062,0.12693,0.9226,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4545.79,0.37977,0.18277,0.97773,0.99931,1,0.995,0.94778,0.30626,0.12694,0.92289,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4598.07,0.37543,0.18062,0.97565,0.99935,1,0.995,0.9478,0.30614,0.12687,0.92282,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4650.22,0.37322,0.17683,0.97525,0.99935,1,0.995,0.94794,0.30604,0.12669,0.92276,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4702.62,0.37345,0.17561,0.9736,0.99934,1,0.995,0.94804,0.30592,0.12705,0.92264,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4754.87,0.37152,0.17457,0.97349,0.99935,1,0.995,0.94799,0.30584,0.12695,0.9227,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4808.57,0.2783,0.13677,0.93046,0.99936,1,0.995,0.94808,0.30582,0.12671,0.92275,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4860.31,0.27291,0.13163,0.92512,0.99935,1,0.995,0.94812,0.30588,0.12692,0.92276,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4911.68,0.2723,0.12963,0.92418,0.99938,0.99979,0.995,0.94814,0.30579,0.12652,0.92277,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4965.46,0.26889,0.12728,0.92224,0.99938,0.99979,0.995,0.94837,0.30563,0.12622,0.92267,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5018.83,0.26853,0.12647,0.92094,0.99938,0.99993,0.995,0.94812,0.30545,0.12603,0.92255,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
